date,close,component,state,currentConfidencePct,horizon,occurrences,historicalConfidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr
2026-06-02 08:00,0.22,波动状态,波动压缩,48.27,1,3931,强,44.09,27.96,72.04,2.82,0.0,27.3,1.0436788951549706e+16,-2.1627,0.7913,-0.2816
2026-06-02 08:00,0.22,波动状态,波动压缩,48.27,3,3931,强,34.37,32.82,67.18,9.46,19.23,30.91,2.959550335562115e+16,-3.8021,0.8404,-0.2304
2026-06-02 08:00,0.22,波动状态,波动压缩,48.27,5,3930,强,29.41,35.29,64.71,15.01,30.0,32.52,4.8991678236604504e+16,-4.3767,0.8697,-0.2112
2026-06-02 08:00,0.22,波动状态,波动压缩,48.27,10,3929,中,14.28,42.86,57.14,24.66,37.49,36.19,8.821775728201509e+16,-3.6182,0.9104,-0.1719
2026-06-02 08:00,0.22,短ATR状态,短ATR中性,92.42,1,6047,强,29.62,35.19,64.81,3.59,0.0,36.02,-0.0367,-1.2802,0.9688,-0.1478
2026-06-02 08:00,0.22,短ATR状态,短ATR中性,92.42,3,6047,中强,20.06,39.97,60.03,11.03,5.16,36.48,0.118,-1.9612,0.982,-0.1452
2026-06-02 08:00,0.22,短ATR状态,短ATR中性,92.42,5,6047,中强,19.5,40.25,59.75,16.44,18.6,36.17,0.391,-2.5944,0.9782,-0.1497
2026-06-02 08:00,0.22,短ATR状态,短ATR中性,92.42,10,6044,中强,15.88,42.06,57.94,23.46,33.69,36.0,1.1642,-3.5422,0.9757,-0.1519
2026-06-02 08:00,0.22,波动超额状态,振幅未满ATR,37.72,1,7704,强,45.77,27.12,72.88,2.52,0.0,26.21,5325417623123299.0,-2.0659,0.8154,-0.2645
2026-06-02 08:00,0.22,波动超额状态,振幅未满ATR,37.72,3,7704,强,40.11,29.95,70.05,8.2,14.68,30.13,1.5101236200797868e+16,-4.0112,0.8632,-0.2229
2026-06-02 08:00,0.22,波动超额状态,振幅未满ATR,37.72,5,7704,强,37.1,31.45,68.55,13.02,29.67,31.54,2.499186078269155e+16,-5.2127,0.8885,-0.2126
2026-06-02 08:00,0.22,波动超额状态,振幅未满ATR,37.72,10,7703,强,28.24,35.88,64.12,19.98,41.88,35.25,4.499643883695149e+16,-6.5867,0.9257,-0.1724
2026-06-02 08:00,0.22,趋势状态,强趋势下行,100.0,1,4380,强,29.45,35.27,64.73,5.07,0.0,37.9,0.2678,-1.3884,0.995,-0.1307
2026-06-02 08:00,0.22,趋势状态,强趋势下行,100.0,3,4378,中强,24.67,37.67,62.33,13.29,7.63,35.11,0.491,-2.7066,0.9613,-0.1626
2026-06-02 08:00,0.22,趋势状态,强趋势下行,100.0,5,4378,强,25.99,37.0,63.0,17.41,23.41,34.31,0.5072,-3.8969,0.9471,-0.1733
2026-06-02 08:00,0.22,趋势状态,强趋势下行,100.0,10,4377,强,25.7,37.15,62.85,22.02,40.62,33.2,0.0012,-6.1323,0.9352,-0.1938
2026-06-02 08:00,0.22,量能状态,量能正常,91.11,1,5953,中强,22.86,38.57,61.43,4.49,0.0,39.91,0.3342,-0.9693,1.0192,-0.1038
2026-06-02 08:00,0.22,量能状态,量能正常,91.11,3,5952,中,13.24,43.38,56.62,13.14,3.68,37.74,1.0461,-1.3391,1.0024,-0.1276
2026-06-02 08:00,0.22,量能状态,量能正常,91.11,5,5950,中,12.97,43.51,56.49,19.26,16.05,37.14,1.4908,-1.8889,0.9845,-0.1393
2026-06-02 08:00,0.22,量能状态,量能正常,91.11,10,5947,中,9.03,45.49,54.51,27.19,29.93,36.57,2.9461,-2.1243,0.9857,-0.1463
