component,state,horizon,occurrences,confidence,probabilityEdgePct,atrUpProbabilityPct,atrDownProbabilityPct,strongAtrUpProbabilityPct,strongAtrDownProbabilityPct,futureRemainingMomentumPositivePct,avgAtrChangePct,medianAtrChangePct,avgFutureVolatilityMultiple,medianFutureRemainingMomentumAtr,lastSeen
波动超额状态,接近一倍ATR,1,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-1.4277,-1.4277,0.4134,-0.5866,2026-05-10
波动超额状态,振幅未满ATR,1,4,样本偏少,0.0,50.0,50.0,25.0,25.0,25.0,-1.2129,-0.6329,0.6662,-0.358,2026-05-17
波动超额状态,振幅未满ATR,3,3,样本偏少,33.33,33.33,66.67,33.33,33.33,33.33,-0.8119,-6.8388,0.6917,-0.42,2026-05-03
波动超额状态,振幅未满ATR,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42,2026-04-19
波动状态,常态波动,1,2,样本偏少,100.0,100.0,0.0,50.0,0.0,50.0,7.839,7.839,0.8309,-0.1691,2026-05-17
波动状态,常态波动,3,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,14.4518,14.4518,0.58,-0.42,2026-05-03
波动状态,低波动启动,1,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-1.4277,-1.4277,0.4134,-0.5866,2026-05-10
波动状态,高波动冷却,1,2,样本偏少,100.0,0.0,100.0,0.0,50.0,0.0,-10.2649,-10.2649,0.5014,-0.4985,2026-04-26
波动状态,高波动冷却,3,2,样本偏少,100.0,0.0,100.0,0.0,50.0,50.0,-8.4437,-8.4437,0.7476,-0.2524,2026-04-26
波动状态,高波动冷却,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42,2026-04-19
短ATR状态,短ATR降温,1,5,样本偏少,20.0,40.0,60.0,20.0,20.0,20.0,-1.2559,-1.4277,0.6156,-0.42,2026-05-17
短ATR状态,短ATR降温,3,3,样本偏少,33.33,33.33,66.67,33.33,33.33,33.33,-0.8119,-6.8388,0.6917,-0.42,2026-05-03
短ATR状态,短ATR降温,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42,2026-04-19
量能状态,放量,1,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-1.4277,-1.4277,0.4134,-0.5866,2026-05-10
量能状态,量能正常,1,1,样本偏少,100.0,100.0,0.0,100.0,0.0,100.0,12.12,12.12,1.0818,0.0818,2026-05-03
量能状态,量能正常,3,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,14.4518,14.4518,0.58,-0.42,2026-05-03
量能状态,缩量,1,3,样本偏少,33.33,33.33,66.67,0.0,33.33,0.0,-5.6573,-4.8239,0.5276,-0.42,2026-05-17
量能状态,缩量,3,2,样本偏少,100.0,0.0,100.0,0.0,50.0,50.0,-8.4437,-8.4437,0.7476,-0.2524,2026-04-26
量能状态,缩量,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42,2026-04-19
趋势状态,强趋势下行,1,4,样本偏少,50.0,25.0,75.0,0.0,25.0,0.0,-4.5999,-3.1258,0.4991,-0.5033,2026-05-17
趋势状态,强趋势下行,3,2,样本偏少,100.0,0.0,100.0,0.0,50.0,50.0,-8.4437,-8.4437,0.7476,-0.2524,2026-04-26
趋势状态,强趋势下行,5,1,样本偏少,100.0,0.0,100.0,0.0,0.0,0.0,-8.1779,-8.1779,0.58,-0.42,2026-04-19
趋势状态,弱趋势混合,1,1,样本偏少,100.0,100.0,0.0,100.0,0.0,100.0,12.12,12.12,1.0818,0.0818,2026-05-03
趋势状态,弱趋势混合,3,1,样本偏少,100.0,100.0,0.0,100.0,0.0,0.0,14.4518,14.4518,0.58,-0.42,2026-05-03
